Nr.;Formula;# Dupl;# Docs;500_tfidf;400_tfidf;300_tfidf;200_tfidf;100_tfidf
1;H=\dot{a}/a;32;32;9;1;1;1;0
2;p=\omega\rho;6;5;4;1;0;0;2
3;\omega=p/\rho;4;3;1;0;0;0;0
4;p=-A/\rho^{\alpha};4;4;0;0;0;0;0
5;p_{d}=w\rho_{d};4;3;2;1;1;1;1
6;H={\dot{a}}/a;4;4;3;0;0;0;0
7;k=|{\bf k}|;3;3;0;0;0;0;0
8;f=e^{-\phi}R;3;2;0;0;0;0;0
9;p=\kappa\rho;3;2;0;0;0;0;0
10;w=p_{X}/\rho_{X};3;3;2;0;0;0;0
11;\mu=m_{p}/m_{e};3;3;0;0;0;0;0
12;\phi_{c}=M/g;3;3;0;0;0;0;0
13;p=-\frac{A}{\rho^{\alpha}};3;3;1;0;0;0;0
14;p=\alpha\rho;3;2;1;0;0;0;0
15;M=\widetilde{M}/\Gamma;3;3;0;0;0;0;0
16;g(a)=\bigtriangleup(a)/a;3;2;0;0;0;0;0
17;\alpha=dn_{s}/d\ln{k};3;3;0;0;0;0;0
18;\psi=-i\theta;3;2;0;0;0;0;0
19;dt=a(\eta)d\eta;2;2;2;1;0;0;0
20;\Delta x_{min}=\sqrt{\beta};2;2;0;0;0;0;0
21;k^{i}=ap^{i};2;2;0;0;0;0;0
22;\varphi=\delta A_{\mu};2;2;0;0;0;0;0
23;h_{ab}=g_{ab}-n_{a}n_{b};2;2;0;0;0;0;0
24;K=K_{ab}h^{ab};2;2;0;0;0;0;0
25;v=\sqrt{|dp/d\rho|};2;2;0;0;0;0;0
26;Q=\sqrt{G}M;2;2;0;0;0;0;0
27;\zeta=H\delta\phi/\dot{\phi};2;2;0;0;0;0;0
28;m_{\gamma}=e/\sqrt{\pi};2;2;0;0;0;0;0
29;d\eta=dt/a(t);2;2;3;0;0;0;0
30;T_{g}=H_{o}t_{g};2;2;0;0;0;0;0
31;{\cal H}=a^{\prime}/a;2;2;2;0;0;0;0
32;\theta=A\exp(-\zeta t);2;2;0;0;0;0;0
33;p_{i}=\omega_{i}\rho_{i};2;2;1;1;1;1;1
34;i\partial_{t}\Phi=H\Phi;2;2;0;0;0;0;0
35;H(t)=\dot{a}/a;2;2;1;0;0;0;0
36;p_{\Lambda}=-\rho_{\Lambda};2;2;0;0;0;0;0
37;P_{M}=w\rho_{M};2;2;1;0;0;0;0
38;f_{\nu}=\rho_{\nu}/\rho_{d};2;2;0;0;0;0;0
39;A_{t}=rA_{s};2;2;0;0;0;0;0
40;p_{m}=\gamma\rho_{m};2;2;0;0;0;0;0
41;\Omega_{i}=\rho_{i}/\rho_{c};2;2;0;0;0;0;0
42;P(k)=Ak^{n};2;2;0;0;0;0;0
43;L_{I}=M(\tau)\phi[x(\tau)];2;2;0;0;0;0;0
44;L=\kappa h_{ab}T^{ab};2;2;0;0;0;0;0
45;w_{i}=P_{i}/\rho_{i};2;2;1;0;0;0;0
46;{\bar{M}}={B}/{C};2;2;1;1;1;1;0
47;\Psi=\Psi_{\ell}+\Psi_{s};2;2;0;0;0;0;0
48;z=a\dot{\phi}/H;2;2;1;0;0;0;0
49;u^{\mu}=dx^{\mu}/d\tau;2;2;0;0;0;0;0
50;\dot{\phi}=-W_{\phi};2;2;0;0;0;0;0
Total;;;;36;6;4;4;4
