Nr.;Formula;(set) top10;(set) top300;example
1;"W(2,k)&gt;{2}^{k}/{k}^{\varepsilon}";;;
2;\measurableSpace{\XSet}{\SetFamily};;;
3;(p-1)!^{n};;;
4;f_{c}(z)=z^{2}+c;;;
5;\forall x\,\forall y\,P(x,y)\Leftrightarrow\forall y\,\forall x\,P(x,y);;;
6;\alpha(x);;;
7;|{\Psi}\rangle=\sum_{i_{1},i_{2},\alpha_{1},\alpha_{2}}\Gamma^{[1]i_{1}}_{%\alpha_{1}}\lambda^{[1]}_{\alpha_{1}}\Gamma^{[2]i_{2}}_{\alpha_{1}\alpha_{2}}%\lambda^{[2]}_{{\alpha}_{2}}|{i_{1}i_{2}}\rangle|{\Phi^{[3..N]}_{\alpha_{2}}}\rangle;;;
8;\infix{*}{z}{x}\leq y;;;
9;\deriv{\ln_{c}x}{x}={1\over x\ln c};;;
10;\theta=n\times 137.508^{\circ};;;
11;s_{V}(\mathcal{R});;;
12;\ell(m);;;
13;bx-x^{2};;;
14;\omega_{k};;;
15;\mathbf{m}_{1};;;
16;r\partprop{r}{i}{j};;;
17;Z=\sum_{j}g_{j}\cdot\mathrm{e}^{-{\beta E_{j}}};;;
18;\trafo{S};;;
19;S^{\prime};;;
20;\operatorname{Ker}(k_{*}-l_{*})\cong\operatorname{Im}(i_{*},j_{*});;;
21;D(G,H)=\sum_{i=1}^{29}\abs{F_{i}(G)-F_{i}(H)};;;
22;E_{\text{k}}=E_{t}+E_{\text{r}};;;
23;\lambda(L(B))\leq d;;;
24;L(C)\leq L(T);;;
25;v=\frac{c}{n};;;
26;\sigma_{y}^{2}(\tau)=\frac{2\pi^{2}\tau}{3}h_{-2};;;
27;R_{s\text{normal}}=\sqrt{\frac{\omega\mu_{0}}{2\sigma}};;;
28;\phi_{1}=\range{-\degree{30}}{+\degree{30}};;;
29;T_{c};;;
30;P_{1}(X)=P(X)/(X-\alpha_{1});;;
31;P(n)=\frac{k}{n};;;
32;n=\prod_{i=1}^{r}p_{i}^{a_{i}};;;
33;H(j\omega)=\mathcal{F}\{h(t)\};;;
34;\pi/4;;;
35;(x+y)^{n}=\sum_{k=0}^{n}{n\choose k}x^{n-k}y^{k}=\sum_{k=0}^{n}{n\choose k}x^{%k}y^{n-k};;;
36;[A]_{t}=-kt+[A]_{0};;;
37;q^{42};;;
38;\alpha(d)\leq\left(\sqrt{3/2}+\varepsilon\right)^{d};;;
39;{}\tensor{f}{\mu}{}=-8\pi{G\over{3c^{4}}}\left({A\over 2}T_{\alpha\beta}+{B%\over 2}T\eta_{\alpha\beta}\right)\left(\delta^{\mu}_{\nu}+u^{\mu}u_{\nu}%\right)u^{\alpha}x^{\nu}u^{\beta};;;
40;\frac{D_{g}u_{g}}{Dt}-f_{0}v_{a}-\beta yv_{g}=0;;;
41;I_{c};;;
42;A\mapsto M\alpha(A)M^{-1};;;
43;\Gamma_{\infty};;;
44;Y=\beta T_{8}+IX;;;
45;"\mu(A)={\begin{cases}1&amp;\mbox{ if }{0\in A}\\0&amp;\mbox{ if }{0\notin A}\end{cases}\)\@add@PDF@RDFa@triples\end{document}}";;;
46;\lambda_{in};;;
47;\operatorname{rpm}_{motor};;;
48;\underbrace{u_{1}(\mathbf{x},z_{1})=v_{1}+\dot{u}_{x}}_{\text{By definition of% }v_{1}}=\overbrace{-\frac{\partial V_{x}}{\partial\mathbf{x}}g_{x}(\mathbf{x}%)-k_{1}(\underbrace{z_{1}-u_{x}(\mathbf{x})}_{e_{1}})}^{v_{1}}\,+\,\overbrace{%\frac{\partial u_{x}}{\partial\mathbf{x}}(\underbrace{f_{x}(\mathbf{x})+g_{x}(%\mathbf{x})z_{1}}_{\dot{\mathbf{x}}\text{ (i.e., }\frac{\operatorname{d}%\mathbf{x}}{\operatorname{d}t}\text{)}})}^{\dot{u}_{x}\text{ (i.e., }\frac{%\operatorname{d}u_{x}}{\operatorname{d}t}\text{)}};;;
49;E\left[\hat{\sigma}^{2}\right]=\frac{n-1}{n}\sigma^{2};;;
50;\mathsf{fv};;;
51;\sum_{x}\sum_{y}I(x,y);;;
52;\boldsymbol{F}_{r};;;
53;0\rightarrow B\rightarrow A\oplus B\rightarrow A\rightarrow 0;;;
54;(\nabla_{Y}T)(\alpha_{1},\alpha_{2},\ldots,X_{1},X_{2},\ldots)=Y(T(\alpha_{1},%\alpha_{2},\ldots,X_{1},X_{2},\ldots));;;
55;\sum_{n\in\mathbb{Z}^{d}}|\psi(t,n)|^{2}|n|\leq C;;;
56;p={\frac{-x\pm\sqrt{x^{2}-4(\frac{-gx^{2}}{2v^{2}})(\frac{-gx^{2}}{2v^{2}}-y)}%}{2(\frac{-gx^{2}}{2v^{2}})}};;;
57;"z\in H:\abs{z}&gt;1\abs{\operatorname{Re}(z)}&lt;\frac{1}{2}";;;
58;T-\lambda I;;;
59;{y\left(x\right)=\operatorname{sgn}(\rho)\frac{\sigma_{y}}{\sigma_{x}}}(x-\mu_{%x})+\mu_{y};;;
60;x=b;;;
61;H^{1}(K)=\sqrt{2};;;
62;P_{i}=\operatorname{head}(E_{K}(S_{i-1}),x)\oplus C_{i};;;
63;\frac{\partial f}{\partial x}=f_{x}=\partial_{x}f;;;
64;P_{x}=P-\{a\mid a\geq x\};;;
65;\eta=\frac{{Q}_{1}-Q_{2}}{Q_{1}};;;
66;df={\partial f\over\partial x}dx+{\partial f\over\partial y}dy=pdx+vdy;;;
67;h_{r,s};;;
68;K^{M}_{*}(k):=T^{*}(k^{\times})/(a\otimes(1-a));;;
69;\{C:K_{X}\cdot C=0\};;;
70;\Theta\wedge(d\Theta)^{n}\neq 0;;;
71;\frac{D(\rho u_{i})}{Dt}\approx 0;;;
72;z_{t}=\lambda_{1}z_{t-1}+\varepsilon_{t};;;
73;b_{3};;;
74;\operatorname{\Delta W}=\Int{V_{1}}{V_{2}}@{p}{\operatorname{dV}};;;
75;"\dim f(Z)&gt;n";;;
76;\frac{d}{dt}\log_{e}t=\frac{1}{t};;;
77;h_{i}:X\to\{-1,+1\};;;
78;\operatorname{seqs}\leq 6;;;
79;"F=\{(x,y):x\in{\mathcal{R}^{b},\,y\in\mathcal{R}^{n},\;x=y\}\)\@add@PDF@RDFa@triples\end{document}}";;;
80;X_{i}(\omega)=\omega_{i};;;
