Example Nr.;Label;TeX;arXiv formula;arXiv constituents;Wikidata formula;Wikidata constituents;Wikipedia formula;Wikipedia constituents;Approach0;(zbMATH);Google;(Wolfram Alpha);List;;;;;;;;;;
1;KGE;\frac{1}{c^2} \frac{\partial^2 \psi}{\partial t^2} - \nabla^2 \psi + \left( \frac{m_0 c}{\hbar} \right)^2 \psi = 0;5;-;1;5;1;5;-;-;-;-;Academic (open source);;;Source;;;;Industrial (open access);;;
11;EFE;G_{\mu \nu} + \Lambda g_{\mu \nu} = \kappa T_{\mu \nu};1;9;1;2;1;1;1;1;1;-;https://approach0.xyz/search/;;;https://github.com/approach0/;;;;https://www.google.com;;;https://www.google.com/search
21;ME;\text{div} \vec{E} = 4 \pi \rho;2;-;3;-;-;-;5;-;1;-;https://zbmath.org/formulae/;;;;;;;https://www.wolframalpha.com;;;
31;SE;i \hbar \frac{\partial}{\partial t} | \psi (t) \rangle = \hat{H} | \psi (t) \rangle;1;4;1;5;1;7;1;-;1;-;not woking;;;;;;;access restricted;;;
41;HE;(\nabla^2 − k^2) A = -f;-;-;-;-;-;-;-;-;-;-;https://search.mathweb.org;;;;;;;https://www.searchonmath.com;;;
51;BE;\nabla^4\varphi=0;-;-;-;-;-;-;2;-;5;-;;;;;;;;;;;
61;NSL;\vec{F} = \frac{d\vec{p}}{dt};4;-;3;-;2;1;2;-;4;-;;;;;;;;;;;
71;HUP;\sigma_{x}\sigma_{p} \geq \frac{\hbar}{2};8;-;1;-;-;-;1;-;2;-;;;;;;;;;;;
81;SLT;\oint \frac{\delta Q}{T}=0;-;-;1;-;-;-;-;-;1;-;;;;;;;;;;;
91;CL;|F_1| = |F_2| = \\frac{|q_1 \\times q_2|}{r^2};-;-;6;2;1;1;-;-;4;-;;;;;;;;;;;
Mean Rank;;;3.142857143;6.5;2.125;3.5;1.2;3;1.333333333;1;1.714285714;-;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Reciprocal Ranks;;;0.2;0;1;0.2;1;0.2;0;0;0;0;;;;;;;;;;;
;;;1;0.111111111;1;0.5;1;1;1;1;1;0;;;;;;;;;;;
;;;0.5;0;0.333333333;0;0;0;0.333333333;0;1;0;;;;;;;;;;;
;;;1;0.25;1;0.2;1;0.142857143;1;0;1;0;;;;;;;;;;;
;;;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;
;;;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;;
;;;0.25;0;0.333333333;0;0.5;1;1;0;0.25;0;;;;;;;;;;;
;;;0.125;0;1;0;0;0;1;0;0.5;0;;;;;;;;;;;
;;;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;
;;;0;0;0.166666667;0.5;1;1;0;0;0.5;0;;;;;;;;;;;
Mean Reciprocal Rank;;;0.4075;0.036111111;0.583333333;0.14;0.45;0.334285714;0.633333333;0.1;0.525;0;;;;;;;;;;;
;;;arXiv formula;arXiv identifiers;Wikidata formula;Wikidata identifiers;Wikipedia formula;Wikipedia identifiers;Approach0;(zbMATH);Google;(Wolfram Alpha);;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
either syntactic (formula) or semantic (concept) matching;;;;;;;;;;;;;;;;;;;;;;;
mathwebsearch did not work, searchonmath access restricted, zbmath & wolfram alpha too low performing (10% and 0% on sample selection);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
MRR;;;0.4075;0.036111111;0.583333333;0.14;0.45;0.334285714;0.633333333;0.1;0.525;;;;;;;;;;;;
MR;;;3.142857143;6.5;2.125;3.5;1.2;3;1.333333333;1;1.714285714;;;;;;;;;;;;
Top10 Recall;;;0.6;0.2;0.8;0.4;0.5;0.5;0.6;0.1;0.8;0;;;;;;;;;;;
Top1 Recall;;;0.2;0;0.5;0;0.4;0.30;0.3;0.1;0.4;0.00;;;;;;;;;;;
